label,text
neu,RT @mention Discussion: Is #Nuclear #Energy Safer Than Previously Thought? {link}
neu,RT @mention Do you know the facts about US #nuclear energy production? Get them in our updated &quot;cheat sheet&quot; of quick facts - {link}
neu,RT @mention Does anyone have an informed update on the clean-up progress at #Fukushima Nuclear Power Plant? It seems to have disappeared from the news.
neu,RT @mention Don't Count Out Nuclear Energy Just Yet: The summer meeting of the American Nuclear Society could have been a wa... {link}
neu,RT @mention Exelon CEO tell ANS nation must dispense with #Fukushima fears because it needs #nuclear energy {link}
neu,RT @mention Expert commentary on the safety of #nuclear #energy {link}
neu,@mention Fission not a theory. It's how all nuclear power plants less than 93 million miles from Earth work.
neu,RT @mention Floating Nuclear Power Plant Seized By Court: bit.ly/qYRdXw via @mention
neu,"RT @mention Florida senator challenges utilities on nuclear power cost recovery, again. {link} #sayfie @mention @mention"
neu,RT @mention Florida should persevere on nuclear power plants: Great op ed article from the editors of the D... {link} #nuclear #energy
neu,RT @mention For those seeking info &gt; soundbites. RT @mention We've updated the NEI Myths &amp; Facts about nuclear energy: {link}
neu,"RT @mention From WSMV: TVA nuke construction, rates on board agenda: Nuclear power plant safety and fossil fuel emissions ar... {link}"
neu,RT @mention Fukushima Dai-ichi nuclear power plant may not achieve cold shutdown as soon as planned: Tokyo (cont) {link}
neu,"@mention GE laser breakthrough could also lead to lower cost nuclear energy, and reduced fossil fuel sales. Motive for opposition?"
neu,"RT @mention Germany plans to move away from nuclear power, which constitutes 22% of country�_�s energy source, in 11 years. via @mention"
neu,@mention got hacked by anonymous. anonymous also hacked the FBI and a russian nuclear power plant..
neu,RT @mention Govt Expanding Civil Nuclear Energy Programme: PM {link}
pos,@mention Happy to spread the word about a fine nuclear power plant!
neu,"@mention has &quot;open mind on #nuclear energy,&quot; he tells FresBee edit board. Cites climate change as major reason 4 stance #559vote"
neu,"@mention has &quot;open mind&quot; on nuclear energy, but is concerned about nuclear waste and need for water to run the plant. #cagov #nuclear"
neu,@mention Has to follow his own advices and recognize mistakes about nuclear energy: {link} and {link}
neu,RT @mention HILLSBOROUGH: Students Attend Nuclear Energy Forum: Hillsborough teens were among 200 New Jersey high school stu... {link}
neu,@mention hmmm read about his views on environmental and nuclear energy policies.
neu,RT @mention How our kids are being schooled by the nuclear industry {link} via @mention
neg,"RT @mention I am tweeting, &quot;Stop the nuclear power plant&quot;. Please give &quot;Re-Tweet&quot; to my tweet. #no_nukes #genpatsu #&#21407;&#30330;&#12392;&#12417;&#12429;#s_t_r"
neg,@mention I want to stop the nuclear power plant all over the world now.So I shout it everyday;)So Thanks for your RT and heart.
neu,@mention I'd go to the MLP universe and introduce nuclear energy and warfare strategies to the ponies. #fuckthepolice
neu,"RT @mention I'm also confused how Japan's nuclear energy is not a threat, while Iran's is. How does physics not work the same all over the world?"
neu,@mention I'm assuming nuclear power is a growing industry right now?
neu,@mention i'm skeptical that he knows shit about nuclear energy apart from &quot;the public are scared shitless of it&quot;
neu,RT @mention Idaho Samizdat: Nuke Notes: 66th Carnival of Nuclear Energy Bloggers {link}
neu,"@mention If McGuinty has his way natural gas will be redundant and expensive wind, solar and dangerous nuclear energy will replace it."
neg,RT @mention if we work #TOGETHER we can phase-out nuclear power and replace it with clean energy ... :)
pos,RT @mention In #national #science and #politics news: PM says Nuclear energy vital for growth!
neu,"RT @mention In Japan the 6th graders take field trips to nuclear power plants? Gees, makes my field trips to the movie theater look really boring"
neu,"RT @mention India - Nuclear power generation to touch 20,000 MW: The country's nuclear power generation i... {link}"
neu,RT @mention India to accord highest safety standards for civil nuclear energy: PM {link}
neu,RT @mention Internet. Weather Forecasting. GPS. Commercial Aviation. Freight. Nuclear Energy. What do these things have in common?
neu,"RT @mention Iran's Top Diplomat To Discuss Nuclear Energy Issues In Moscow: Ali Akbar Salehi, the foreign minister of Iran, ... {link}"
neu,"RT @mention Is #SaudiArabia making a transition from #oil to #nuclear ? {link} &gt; when SA is bearish on oil, we should all notice"
neu,RT @mention Issues: Nuclear Energy &amp; Waste: Fact Sheet {link} &lt;-Reprocessing nuclear waste creates more nuclear waste
neu,@mention it seemed like politically speaking the US was on it's way to jumping more into nuclear power but then the Japan incident happened
pos,"RT @mention It's sad that as a society, we are scared to use technology like nuclear power for progress�_� (cont) {link}"
neu,@mention lol it was from the years of working at the nuclear power plant
neu,RT @mention Mark Hibbs on Saudi Arabia�_�s nuclear energy ambitions {link}
pos,RT @mention More good news...Russia proposes to construct nuclear plants in Iran {link}
pos,"RT @mention More Nuclear Power, Please. {link}"
neu,RT @mention More potential energy than a nuclear power plant:Cannabis=safer More healing properties than alcohol:Cannabis=safer themarijuanateaparty.org
neu,"@mention Mr.Vat-&quot;Oh Mr.Burns, so insightful. Not just sitting in your office at the nuclear power plant trying to tear down schools.&quot;"
pos,"@mention My &quot;agenda&quot; is spreading Calm, Certainty, and Reassurance (aka truth) about #nuclear energy in response to FUD. Yours?"
neu,"@mention my line at work, when it's crazy.. I'm going to get a nice quiet job at the nuclear power plant.."
neu,@mention Nah man. It is the same thing with nuclear power supporters and NIMBYism. They support it so long as it doesn't relate to them.
neu,RT @mention Nation hit by A-bombs placed big bet on nuclear power {link}
neg,RT @mention New nuclear power plants are just too expensive to build. See what Exelon's CEO says: {link}
neu,"RT @mention NGOs, Academics Call For Abolition Of Nuclear Plants: Antinuclear nongovernmental organizations and academics ca... {link}"
neu,RT @mention no-nukes-logo {link} via @mention
neg,RT @mention Not only Japan but also the nuclear power plant all over the world has a lot of problems.Please save children and {link}
neu,RT @mention Now: No earthquake or tsunami damage reported at any nuclear power plants in Japan.
neu,RT @mention Nuclear blog digest. RT @mention 65th Carnival of Nuclear Energy Bloggers is Up {link} #nuclear
neu,"RT @mention Nuclear energy declines while greener energy emerges. If you're in Arizona, we're talkin' to you! {link}"
neu,RT @mention Nuclear energy is a hell of a way to boil water&quot; Albert Einstein...&#12300;&#21407;&#23376;&#21147;&#12399;&#28271;&#12434;&#27832;&#12363;&#12377;&#26041;&#27861;&#12398;&#22320;&#29508;&#12391;&#12377;&#12301;&#12450;&#12523;&#12496;&#12540;&#12488;&#12539;&#12450;&#12452;&#12531;&#12471;&#12517;&#12479;&#12452;&#12531; (exite&#32763;&#35379;)&#12290;&#22320;&#29508;&#12384;&#12424;&#65281;&#12504;&#12523;&#65281;&#22320;&#29508;&#12398;&#28271;&#27832;&#12363;&#12375;&#22120;&#65281;&#12450;&#12507;&#65281;
neg,"RT @mention Nuclear energy is a very expensive and dangerous way to boil water. What's more, when it screws up the earth is uninhabitable for humans."
neu,"RT @mention Nuclear energy, capitalism and communism | International ... {link}"
neg,"RT @mention Nuclear Energy. Clean for now, death to the planet and all of our future generations. Nice work!"
neu,"RT @mention Nuclear Power after Fukushima: It is, still, the energy of the future (Reprint of article fm Jun 20 National Review) {link}"
neu,@mention nuclear power is in the best interest of the future of Saskatchewan...we are a world leader in #uranium #backwards #hypocrite
neu,RT @mention Nuclear power plant #construction spending approved at Vogtle site in GA {link} From @mention
neu,"@mention Nuclear power, zealous protectionism, arms (ironically!), horses, frogs, snails, sparrows, otters, voles, topless birds..."
neu,"RT @mention NY Times: German Chancellor Merkel white washes her abrupt, politically expedient U-turn on #nuclear energy. {link}"
neu,@mention or New Green Energy: Nuclear Energy for the 21st Century
neu,RT @mention Progress report on #Fukushima Daiichi {link} #nuclear #energy
neu,"RT @mention Protect Yourself From Nuclear Power Plant Radiation, Plan an evacuation route, Know the Safe zones {link}"
neu,RT @mention Public Support for Nuclear Energy Remains Strong {link}
pos,"RT @mention Quote of the Day: In Florida, we cannot afford the consequences of not including nuclear power ... {link} #nuclear #energy"
neu,RT @mention Radioactive Leak at Fort Calhoun Nuclear Power Station | Nuclear ...: Radioactive Leak at Fort Calhoun Nuclear P... {link}
neu,RT @mention Random #garmentcare fact: did you know that HEPA filters were designed for nuclear power plants?
neu,RT @mention Reading: #China�_�s #Nuclear Power Plans Unfazed by Fukushima #Disaster @mention {link} similar to our: {link}
neu,RT @mention Remember there were two or three American Nuclear power plants under water or leaking? Where is the news coverage? #blackout #corruptmedia
neu,"@mention report, 'Laser Advances in Nuclear Fuel Stir Terror Fear,&quot; proves we can't divorce nuclear energy from nonproliferation discussions"
neu,RT @mention Reporting from the grounds of Fukushima Daiichi Nuclear Power Station {link}
neu,"@mention rolling back regulations? Is that because we should trust wallstreet the oil ,nuclear energy corps to do the right thing?"
neu,RT @mention RT @mention 66th Carnival of Nuclear Energy Bloggers online now at ANS #Nuclear Cafe {link}
neu,RT @mention RT @mention Progress report on #Fukushima Daiichi {link} #nuclear #energy
neg,RT @mention RT�_�@mention Report: Ground Under Fukushima Plant Cracking &amp; Venting Radioactive Steam {link} &quot;abandon nuclear power altogether&quot;
neu,RT @mention Russia in talks to build MORE nuclear power plants in Iran... Magog and Persia doing what comes naturally...
neu,RT @mention Russia proposed cooperating w IR on building new nuclear power plants; Iran's nuclear chief says; PressTV {link}
neg,RT @mention Saudi Arabia boosts its nuclear energy ambitions {link} #nuclear &lt; This disturbs me. Women can't drive there.
neu,RT @mention Saudi Arabia�_�s Nuclear Energy Ambitions: Filed under: Energy News {link}
neu,"RT @mention Science Saturday: Nuclear energy, melting ice caps, and human adaptation {link}"
neu,"RT @mention Science Saturday: Nuclear Energy, Melting Ice Caps, And Human Adaptation: I was on Bloggingheads.tv Science Satu... {link}"
neu,RT @mention Should nuclear power be feared? Or more understood? {link} #Fukushima #energy #Germany #Japan #orcot
neu,RT @mention Slovenia's nuclear power plant in Krsko - @mention News {link}
neu,"RT @mention Smart, important post. RT @mention Studying radioactive sulfur from Fukushima isn't about nuclear power. It's about coal. bit.ly/r2KcaI"
neu,@mention Sounds good. And agreed on the boats. Larger keepout zone this time due to nuclear power source.
neu,RT @mention SPOTLIGHT: U.S. Nuclear Safety is as Nuclear Safety Does: Multiple strengthening grids integral... {link} #nuclear #energy
neg,@mention still more people than have ever died due to nuclear power in the US
neu,"RT @mention Stop talking,start building nuclear power plants,oil drilling,get a patriot in charge,this verbal muslim/lib diarrhea has gone far enough!"
neu,RT @mention Studying radioactive sulfur from Fukushima isn't about nuclear power. It's about coal. {link}
neu,"@mention Tainted food, bribery, issues with nuclear power...it's like you saw Japan's future Will there be a quake in a future book too?"
neg,@mention That would be nice. &quot;Health and Safety Conciderations: Fukushima Nuclear Power Plant Workers at Risk of Heat-Realted Illness&quot;
neu,RT @mention The 65th Carnival of Pro Nuclear blogs (and podcasts) is up at NEI Nuclear Notes. Find out what the nukes are saying {link}
neu,"RT @mention The cement engulfed his organs, muscles and skin, everything except his heart, a heart forged with nuclear power. He became a man of stone."
neu,@mention The drinking bird was predisposed venting gas at the Springfield Nuclear Power Plant.
neu,RT @mention The First Nuclear Reactor Since The Fukushima's Accident Is Reactivated.: The reactivation is featuring for firs... {link}
neu,RT @mention The government plans to rent all land owned by residents in parts of no-entry zone of Fukushima nuclear power plant. {link}
neu,RT @mention The Hindu : News / National : Nuclear energy will play important role: Manmohan: {link} {link}
neu,RT @mention THE NUCLEAR ENERGY OPTION. The famous book of Prof. L.B. Cohen is free {link}
neu,RT @mention The US #nuclear industry is taking 7 steps to reconfirm safety &amp; emergency preparedness at nuclear plants. Learn more: {link}
